Nodes,GPUs,size(MB),iterations,blocking,out algbw(GB/s),out busbw(GB/s),in algbw(GB/s),in busbw(GB/s)
2,16,32,1000, false,140.06,131.30,145.51,136.42
2,16,64,1000,false,213.80,200.43,217.67,204.07
2,16,128,1000,false,250.18,234.54,253.62,237.77
2,16,256,1000,false,229.95,215.58,228.42,214.14
2,16,512,1000,false,293.89,275.52,295.25,276.79
2,16,1024,1000,false,343.47,322.00,347.55,325.83
2,16,2048,1000,false,350.49,328.58,356.54,334.26
4,32,32,1000, false,86.25,83.56,87.46,84.73
4,32,64,1000,false,143.42,138.94,148.73,144.09
4,32,128,1000,false,218.56,211.73,215.85,209.10
4,32,256,1000,false,261.53,253.36,263.22,254.99
4,32,512,1000,false,227.68,220.57,226.62,219.54
4,32,1024,1000,false,297.83,288.53,298.11,288.79
4,32,2048,1000,false,341.59,330.92,341.77,331.09
8,64,32,1000,false,47.03,46.29,46.55,45.82
8,64,64,1000,false,88.17,86.80,88.38,87.00
8,64,128,1000,false,145.94,143.66,146.71,144.42
8,64,256,1000,false,218.84,215.43,217.36,213.96
8,64,512,1000,false,265.41,261.26,267.00,262.83
8,64,1024,1000,false,228.04,224.47,229.77,226.18
8,64,2048,1000,false,298.37,293.71,299.89,295.21
16,128,32,1000,false,25.10,24.90,25.69,25.49
16,128,64,1000,false,47.36,46.99,46.99,46.62
16,128,128,1000,false,88.37,87.68,87.96,87.28
16,128,256,1000,false,145.18,144.05,147.88,146.73
16,128,512,1000,false,221.71,219.97,223.14,221.40
16,128,1024,1000,false,263.94,261.88,263.48,261.42
16,128,2048,1000,false,267.24,265.15,266.56,264.48
32,256,32,1000,false,12.43,12.38,12.78,12.73
32,256,64,1000,false,25.06,24.96,24.63,24.54
32,256,128,1000,false,45.83,45.65,46.06,45.88
32,256,256,1000,false,86.63,86.30,88.31,87.96
32,256,512,1000,false,146.96,146.38,148.64,148.06
32,256,1024,1000,false,223.27,222.40,226.32,225.44
32,256,2048,1000,false,263.80,262.77,264.69,263.66
